signal,signal_col,forward_return,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,kendall_tau,kendall_p
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_1d,6530,0.0039801224891978584,0.747780677201284,0.006191705394612677,0.6168984149209462,0.004248805994311399,0.6070432433354507
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_5d,6526,-0.001695460485933828,0.8910787208809754,0.013964122781504473,0.2593571413562621,0.010328988485641153,0.21099483997937118
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_21d,6510,-0.02133413769467577,0.08521434214854655,0.027430842533204085,0.026881297401038458,0.019846482049850397,0.016374964545868727
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_63d,6468,-0.041709787500959175,0.0007928625570634167,-0.00845669338345849,0.49650396960150744,-0.0061928858753485996,0.4552973361642473
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_126d,6405,-0.009159287219237065,0.46361853845655937,-0.07046114972382667,1.6517198647976418e-08,-0.049676482819703195,2.5261818629976555e-09
HY-IG MoM 252d,hy_ig_mom_252d,spy_fwd_252d,6279,0.0009160845668879086,0.9421433398450095,0.010377628895069999,0.4109726402756974,0.006263708734448436,0.4568537297944907
Spread Acceleration,hy_ig_acceleration,spy_fwd_1d,6740,0.005890685262341879,0.6287229793397129,0.007879866197202918,0.5177566075968139,0.005689316127359445,0.4839762889106495
Spread Acceleration,hy_ig_acceleration,spy_fwd_5d,6736,0.010749057424438518,0.37773861393267366,0.016897442422467036,0.1655431015169158,0.011246255091044956,0.16630871406978498
Spread Acceleration,hy_ig_acceleration,spy_fwd_21d,6720,0.01620845765439679,0.1840003627574098,0.021405521279149752,0.07932686645970854,0.014408550772916225,0.07651705952686873
Spread Acceleration,hy_ig_acceleration,spy_fwd_63d,6678,0.04768260725908668,9.696470846222744e-05,0.03919126975706278,0.0013586065001610487,0.026984782317192903,0.0009433891190613927
Spread Acceleration,hy_ig_acceleration,spy_fwd_126d,6615,0.021731731370462363,0.07716561699128571,0.034613268463672166,0.004870132953040172,0.024067462675650745,0.0033308732926769107
Spread Acceleration,hy_ig_acceleration,spy_fwd_252d,6489,-0.0006744803779462443,0.9566787385880617,0.0022536301944439023,0.8559712670245695,0.0015575066800675788,0.8507629284406414
CCC-BB Spread,ccc_bb_spread,spy_fwd_1d,6782,-0.0025788276037176532,0.8318455854799168,1.0924340708667165e-05,0.999282314664225,0.0005894053560672649,0.9420355076582421
CCC-BB Spread,ccc_bb_spread,spy_fwd_5d,6778,-0.010070753435953287,0.40711615884483915,0.010905336925416625,0.3693549327750398,0.009344446352848505,0.24879467475376438
CCC-BB Spread,ccc_bb_spread,spy_fwd_21d,6762,-0.029224096576956432,0.016251994261181672,0.04283795746006208,0.0004257415592207704,0.03582377279940026,1.004933528300072e-05
CCC-BB Spread,ccc_bb_spread,spy_fwd_63d,6720,-0.07745692633346937,2.0446346765597343e-10,0.05066554121363273,3.249541375868978e-05,0.04489161836910695,3.454070223251038e-08
CCC-BB Spread,ccc_bb_spread,spy_fwd_126d,6657,-0.050688399673221474,3.510004215459506e-05,0.061000525631002306,6.333384863525054e-07,0.054913338941876194,1.8606403652118278e-11
CCC-BB Spread,ccc_bb_spread,spy_fwd_252d,6531,0.001807686594905062,0.8838743149062053,0.16848337122056004,8.672518651972904e-43,0.1328873414544102,2.589497015268615e-58
HY-IG Spread Change (dcor),hy_ig_spread_chg,spy_ret (same day),3000,0.39065139406149235,,,,,
